STATE,Census Region,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Maryland beer consumption,South Atlantic,2364883.0,2419124.0,2509599.0,2664569.0,2703598.0,2701024.0,2832948.0,2979180.0,3060055.0,3068892.0,3160646.0,3224486.0,3286364.0,3422178.0,3415540.0,3413912.0,3458721.0,3374904.0,3388029.0,3450663.0,3462708.0,3439465.0,3440640.0,3358317.0,3202586.0,3116511.0,3127495.0,3109113.0,3077410.0,3052481.0,3090912.0,3127789.0,3141977.0,3153355.0,3272814.0,3326352.0,3261516.35,3313574.55,3312452.64,3353809.27,3365530.27,3327895.54,3233505.86,3248844.63,3165375.2,3212536.25,3128931.95,3050634.12,3004001.72,2970064.62,2907166.28,2809628.37,2807982.42,2861301.78,1568000.0
Massachusetts beer consumption,New England,3109319.0,3220168.0,3334369.0,3472743.0,3551944.0,3657069.0,3989286.0,4206100.0,4294783.0,4252584.0,4420719.0,4622643.0,4774507.0,4978869.0,4975423.0,4816175.0,4651008.0,4559707.0,4579881.0,4635385.0,4609630.0,4626204.0,4495685.0,4465982.0,4228024.0,4090013.0,4094716.0,4147330.0,4069013.0,4099203.0,4077238.0,4075482.0,4102540.0,4166772.0,4257443.0,4274961.0,4172139.43,4217108.0,4110770.0,4135050.0,4262920.0,4205686.0,4077731.0,4122287.0,4079190.0,4169574.0,4159650.0,4049174.0,4021324.23,3996995.83,3932556.8,3829608.29,3897556.3,3578985.96,2128160.02
Michigan beer consumption,East North Central,5804709.0,5993399.0,6025249.0,6256847.0,6300898.0,6495573.0,6764110.0,6843313.0,7043665.0,7125993.0,7284385.0,7292335.0,7026793.0,6939045.0,6900981.0,6925957.0,6900471.0,6789464.0,6760524.0,6932633.0,6936720.0,6924063.0,6799927.0,7041665.0,6930769.0,6756725.0,6794232.0,6667062.0,6625566.0,6677082.0,6537630.0,6735381.0,6718333.0,6761561.0,6695665.0,6854064.0,6774702.0,6746578.0,6700174.0,6577607.0,6528897.0,6577491.0,6417882.0,6299288.0,6211526.0,6260852.0,6183796.0,6160260.0,6133075.0,6084421.0,5992721.0,5883000.0,5768000.0,5683000.0,3348000.0
Minnesota beer consumption,West North Central,1941918.0,2003785.0,2087949.0,2235089.0,2315437.0,2299868.0,2532289.0,2713965.0,2790318.0,2854981.0,2897665.0,2962157.0,3104680.0,3209514.0,3233737.0,3190257.0,3225535.0,3161515.0,3110799.0,3130368.0,3180426.0,3180299.0,3163806.0,3269470.0,3238586.0,3172906.0,3195634.0,3309371.0,3281992.0,3367882.0,3355943.0,3488472.0,3488651.0,3588539.0,3560077.0,3646411.0,3632318.7,3656843.31,3519541.86,3535077.3,3589908.38,3567333.88,3538731.77,3550253.06,3495149.12,3718140.24,3623949.96,3577933.85,3719878.42,3730426.97,3739396.73,3763247.7,3715584.51,3627527.0,2260000.0
Mississippi beer consumption,East South Central,680323.0,752063.0,874641.0,924140.0,1050529.0,1118174.0,1182685.0,1253823.0,1258503.0,1278188.0,1373006.0,1497681.0,1499791.0,1544576.0,1638033.0,1644740.0,1673617.0,1685509.0,1735635.0,1819962.0,1826090.0,1851324.0,1827325.0,1931322.0,1914958.0,1984267.0,2041311.0,2105074.0,2084650.0,2130864.0,2153067.0,2215678.0,2317472.0,2316864.0,2288731.0,2310293.0,2313373.01,2289031.76,2331674.41,2377869.98,2406515.69,2413764.29,2358910.35,2319457.05,2277371.79,2300736.52,2278212.0,2247806.0,2237337.55,2227663.95,2147000.0,2130564.34,2073110.12,2196407.88,1269325.6
Missouri beer consumption,West North Central,2504326.0,2594717.0,2710684.0,2804508.0,2879135.0,2908334.0,2992942.0,3104601.0,3219165.0,3218178.0,3391605.0,3638299.0,3815825.0,3904116.0,3953361.0,3894340.0,3887027.0,3836625.0,3847366.0,3948606.0,3979650.0,3914827.0,3930782.0,4008145.0,3968451.0,3977075.0,3989337.0,4115055.0,4029618.0,4072706.0,4087072.0,4174257.0,4267708.0,4333699.0,4341635.0,4396761.0,4382043.14,4432523.52,4393560.42,4458779.27,4532463.61,4530683.26,4522553.58,4454255.16,4337706.64,4362037.48,4230098.42,4177856.06,4148000.0,4129313.53,4050305.55,3947761.51,3957315.0,3951048.65,2300389.29
Montana beer consumption,Mountain,492787.0,484354.0,499371.0,554161.0,578905.0,580261.0,644850.0,698653.0,683666.0,742464.0,767668.0,800444.0,817078.0,799565.0,839780.0,812897.0,813898.0,781366.0,739782.0,723134.0,710239.0,717297.0,706960.0,717112.0,730972.0,736115.0,710159.0,733644.0,743788.0,757773.0,766481.0,777199.0,808621.0,814751.0,854178.0,854916.0,897986.1,903094.93,900780.18,949112.72,970107.35,993495.53,989020.0,971947.0,955633.0,978977.26,981275.73,982221.84,1004759.24,1001477.0,1014502.0,1060650.2,1035074.0,1074388.0,657251.15
Nebraska beer consumption,West North Central,874567.0,910078.0,952437.0,1005899.0,1080889.0,1036264.0,1127492.0,1164956.0,1175804.0,1207458.0,1272575.0,1325557.0,1351981.0,1396859.0,1406589.0,1344287.0,1342537.0,1315382.0,1271896.0,1265299.0,1272701.0,1254699.0,1252670.0,1280624.0,1267475.0,1251580.0,1261438.0,1291768.0,1271740.0,1298519.0,1302932.0,1356782.0,1393517.0,1399454.0,1426413.0,1433191.0,1420820.61,1452782.74,1427389.06,1444537.26,1472261.71,1509416.29,1479648.06,1484111.58,1442291.06,1487656.94,1455488.97,1477657.19,1359939.29,1484910.68,1463963.74,1431041.0,1423642.68,1406452.61,842614.16
Nevada beer consumption,Mountain,346589.0,370100.0,406290.0,439345.0,467497.0,512273.0,564291.0,614123.0,641922.0,687505.0,735827.0,823667.0,913536.0,950971.0,1012485.0,1003595.0,1034688.0,1030898.0,1076433.0,1159059.0,1223840.0,1335241.0,1447641.0,1557800.0,1560914.0,1558500.0,1574600.0,1651700.0,1705384.0,1821306.0,1860834.1,1908351.0,2008641.0,2066301.0,2142150.0,2155301.0,2254125.11,2330925.96,2353411.4,2484738.42,2503331.5,2500901.65,2378875.06,2337629.06,2288763.9,2302337.94,2289177.84,2340646.08,2340848.49,2327489.9,2352772.1,2365683.17,2377676.98,2187700.84,1337522.82
New Hampshire beer consumption,New England,511390.0,540740.0,592590.0,647697.0,716117.0,737962.0,814261.0,867938.0,865451.0,867809.0,896551.0,972115.0,993979.0,1012496.0,1009713.0,1032301.0,1196381.0,1123296.0,1150351.0,1148260.0,1181650.0,1192556.0,1188975.0,1176437.0,1174292.0,1153914.0,1174591.0,1120988.0,1149340.0,1165258.0,1182638.0,1193089.0,1234355.0,1270415.0,1279246.0,1285997.0,1293345.15,1317878.0,1313267.0,1334018.0,1354863.0,1340781.0,1363911.0,1386944.0,1354674.28,1397739.71,1367298.97,1383870.85,1400017.0,1366533.0,1358143.78,1331517.92,1324092.27,1416482.52,830000.0
